author_name,author_id
BryantB.R.,806
LyksborgM.,807
SiebnerH.R.,808
SørensenP.S.,809
BlinkenbergM.,810
ParkerG.J.M.,811
DogonowskiA.-M.,812
GardeE.,813
LarsenR.,814
DyrbyT.B.,815
VanEngelenA.,816
NiessenW.J.,817
KleinS.,818
GroenH.C.,819
VerhagenH.J.M.,820
WentzelJ.J.,821
VanDerLugtA.,822
DeBruijneM.,823
ChaoY.,824
KangJ.,825
ZhangT.,826
YangQ.,827
GruberM.Y.,828
SunY.,829
LiuY.,830
HanS.,831
XuO.,832
EssermanL.J.,833
ThompsonI.M.,834
ReidB.,835
NelsonP.,836
RansohoffD.F.,837
WelchH.G.,838
HwangS.,839
BerryD.A.,840
KinzlerK.W.,841
BlackW.C.,842
BissellM.,843
ParnesH.,844
SrivastavaS.,845
StampR.,846
SchembriA.,847
FenlonJ.,848
RentelisR.,849
WollB.,850
CormierK.,851
McKinnonJ.M.,852
ChonodyJ.,853
SamuelC.A.,854
BoyleS.A.,855
KennedyC.M.,856
TorresJ.,857
ColmanK.,858
Pérez-EstigarribiaP.E.,859
DeLaSanchaN.U.,860
Montero-MarinJ.,861
PivaDemarzoM.M.,862
PereiraJ.P.,863
OleaM.,864
García-CampayoJ.,865
LiX.-M.,866
RengJ.,867
ZhouP.,868
CaoY.,869
ChengZ.-Z.,870
XiaoY.,871
XuG.-H.,872
SinghH.,873
KaurL.,874
SinghK.,875
ZhaoJ.-C.,876
JaneCookE.,877
RandhawaG.,878
LargeS.,879
GuppyA.,880
ChaterA.M.,881
AliN.,882
McClymontH.,883
GowJ.,884
PerryC.,885
PollardA.S.,886
McgonnellI.M.,887
PitsillidesA.A.,888
FahmiF.,889
MarqueringH.A.,890
StreekstraG.J.,891
BeenenL.F.M.,892
JanssenN.N.Y.,893
MajoieC.B.L.,894
VanBavelE.,895
SauderK.A.,896
WestS.G.,897
McCreaC.E.,898
CampbellJ.M.,899
JenkinsA.L.,900
JenkinsD.J.A.,901
KendallC.W.C.,902
NielsenJ.A.,903
MengisteS.A.,904
NewmanC.,905
ManniL.,906
GaspariniF.,907
HottaK.,908
IshizukaK.J.,909
RicciL.,910
TiozzoS.,911
VoskoboynikA.,912
DaugaD.,913
ZhangZ.,914
YuA.M.,915
WangW.,916
WeiZ.,917
AkhterE.,918
MaurerK.,919
ReisP.C.,920
SongL.,921
PetriM.,922
SullivanK.E.,923
