pmid,authors
2-s2.0-85090154955,"['Laohavisit A.', ' Wakatake T.', ' Ishihama N.', ' Mulvey H.', ' Takizawa K.', ' Suzuki T.', ' Shirasu K.']"
2-s2.0-85090162795,"['Wang D.', ' Gu Y.', ' Yang Z.', ' Zhou L.']"
2-s2.0-85090163406,"['Fuso Nerini I.', ' Roca E.', ' Mannarino L.', ' Grosso F.', ' Frapolli R.', "" D'Incalci M.""]"
2-s2.0-85090169441,"['Samea F.', ' Azam F.', ' Rashid M.', ' Anwar M.W.', ' Butt W.H.', ' Muzaffar A.W.']"
2-s2.0-85090172139,"['Foroozandeh A.', ' Hemmat A.', ' Rabbani H.']"
2-s2.0-85090173371,"['Meng M.', ' Lei J.', ' Jiao J.', ' Tao Q.']"
2-s2.0-85090173868,['Alanazi A.A.']
2-s2.0-85090180275,"['Woltering J.M.', ' Irisarri I.', ' Ericsson R.', ' Joss J.M.P.', ' Sordino P.', ' Meyer A.']"
2-s2.0-85090181637,"['Scherngell T.', ' Rohde C.', ' Neuländtner M.']"
2-s2.0-85090184023,"['Pears M.', ' Yiasemidou M.', ' Ismail M.A.', ' Veneziano D.', ' Biyani C.S.']"
2-s2.0-85090197360,"['Nizamaddin S.K.', ' Mehrotra M.', ' Nadhim A.S.H.', ' Luthra R.', ' Roy-Chowdhuri S.']"
2-s2.0-85090207323,"['Benedetti F.', ' Curreli S.', ' Zella D.']"
2-s2.0-85090207747,"['Zhou B.', ' Zhang Z.', ' Hu Y.J.', ' Wang J.', ' Yu Y.E.', ' Nawathe S.', ' Nishiyama K.K.', ' Keaveny T.M.', ' Shane E.', ' Guo X.E.']"
2-s2.0-85090208412,"['Guillot C.', ' Fagherazzi G.']"
2-s2.0-85090215840,"['Paek S.Y.', ' Nalla M.K.', ' Lee J.']"
2-s2.0-85090235292,"['Yan K.K.', ' Wang X.', ' Lam W.W.T.', ' Vardhanabhuti V.', ' Lee A.W.M.', ' Pang H.H.']"
2-s2.0-85090249691,['Duplaga M.']
2-s2.0-85090250831,"['Hassounah M.', ' Raheel H.', ' Alhefzi M.']"
2-s2.0-85090260793,"['Halley A.', ' Leonetti A.', ' Gregori A.', ' Tiseo M.', ' Deng D.M.E.I.', ' Giovannetti E.', ' Peters G.J.']"
2-s2.0-85090261120,"['Ribaut J.', ' Leppla L.', ' Teynor A.', ' Valenta S.', ' Dobbels F.', ' Zullig L.L.', ' De Geest S.', ' Beckmann S.', ' Mielke J.', ' Schmid A.', ' Duerinckx N.', ' Heidegger P.', ' Fürmann M.', ' Neupert D.', ' Rockstein D.', ' Werlitz V.', ' Fürmann M.', ' Schulz T.', ' Lemcke M.', ' Schumacher V.', ' Zeiser R.', ' Engelhardt M.', ' Hasemann M.', ' Kaier K.', ' Gerull S.', ' Passweg J.', ' Ulrich A.', ' Grossmann F.', ' Bolliger D.', ' Reitwiessner S.', ' Degen S.', ' Schönfeld S.', ' Senft Y.', ' Maier B.', ' Shultis C.']"
2-s2.0-85090270529,"['Narvaez C.J.', ' LaPorta E.', ' Robilotto S.', ' Liang J.', ' Welsh J.']"
2-s2.0-85090273155,"['Salviato T.', ' Bonetti L.R.', ' Mangogna A.', ' Leoncini G.', ' Cadei M.', ' Caprioli F.', ' Armuzzi A.', ' Daperno M.', ' Villanacci V.']"
2-s2.0-85090285071,"['Taskin O.C.', ' Clarke C.N.', ' Erkan M.', ' Tsai S.', ' Evans D.B.', ' Adsay V.']"
2-s2.0-85090285401,"['Afonso J.S.', ' Bruce M.', ' Keating P.', ' Raboisson D.', ' Clough H.', ' Oikonomou G.', ' Rushton J.']"
2-s2.0-85090286170,"['Sandhu H.S.', ' Vistro D.M.']"
2-s2.0-85090288812,"['Fu H.', ' Li F.', ' Sun X.', ' Cao X.', ' Liao J.', ' Orlando J.I.', ' Tao X.', ' Li Y.', ' Zhang S.', ' Tan M.', ' Yuan C.', ' Bian C.', ' Xie R.', ' Li J.', ' Li X.', ' Wang J.', ' Geng L.', ' Li P.', ' Hao H.', ' Liu J.', ' Kong Y.', ' Ren Y.', ' Bogunović H.', ' Zhang X.', ' Xu Y.', ' for iChallenge-PACG study group']"
2-s2.0-85090290812,"['Mehari K.', ' Parke A.S.', ' Gallardo F.F.', ' Vandewalle K.S.']"
2-s2.0-85090293812,"['Metzl-Raz E.', ' Kafri M.', ' Yaakov G.', ' Barkai N.']"
2-s2.0-85090293935,"['Wen G.', ' Ma J.', ' Hu Y.', ' Li H.', ' Jiang L.']"
2-s2.0-85090297804,"['Efimov I.', ' Harth V.', ' Mache S.']"
2-s2.0-85090298110,"['Holder J.T.', ' Taylor A.L.', ' Sunderhaus L.W.', ' Gifford R.H.']"
2-s2.0-85090319044,"['Wu J.', ' Meng Q.-H.']"
2-s2.0-85090319242,"['Henson P.', ' Pearson J.F.', ' Keshavan M.', ' Torous J.']"
2-s2.0-85090332177,"['Ruggieri V.', ' Russi S.', ' Zoppoli P.', ' La Rocca F.', ' Angrisano T.', ' Falco G.', ' Calice G.', ' Laurino S.']"
2-s2.0-85090333502,"['Hellesvik M.', ' Øye H.', ' Aksnes H.']"
2-s2.0-85090339097,"['Zahia S.', ' Garcia-Zapirain B.', ' Saralegui I.', ' Fernandez-Ruanova B.']"
2-s2.0-85090359990,"['Casey E.', ' Souvignet T.R.']"
2-s2.0-85090365654,"['Jaquet-Chiffelle D.-O.', ' Casey E.', ' Bourquenoud J.']"
2-s2.0-85090380499,"['Haque A.', ' Milstein A.', ' Fei-Fei L.']"
2-s2.0-85090406318,"['Sanchez-Lopez I.', ' Perez-Rodriguez A.', ' Fandos-Igado M.']"
2-s2.0-85090416003,"['Hodges J.K.', ' Sasaki G.Y.', ' Bruno R.S.']"
2-s2.0-85090434027,"['Leavy M.B.', ' Starzyk K.', ' Myers E.', ' Curhan G.', ' Gliklich R.']"
2-s2.0-85090447087,"['McPherson S.', ' Gosrani S.', ' Hogg S.', ' Patel P.', ' Wetten A.', ' Welton R.', ' Hallsworth K.', ' Campbell M.']"
2-s2.0-85090459586,"['Gómez-Antilef B.F.', ' Heise-Barrera C.A.', ' Muñoz-Vidal G.A.', ' Velásquez-Bórquez G.E.', ' Verdugo-Álvarez V.N.', ' Carrasco-Madariaga J.S.']"
2-s2.0-85090483334,"['Wan C.', ' Zhou X.', ' Zhou P.', ' Shen J.', ' Yu Q.']"
2-s2.0-85090483678,"['Whitmore C.', ' Bird M.', ' McGillion M.H.', ' Carter N.', ' Chen R.', ' Pierazzo J.', ' Carroll S.L.']"
2-s2.0-85090486241,['Angel L.']
2-s2.0-85090491488,"['Ma F.', ' Yu L.', ' Ye L.', ' Yao D.D.', ' Zhuang W.']"
2-s2.0-85090495067,"['Kumar M.', ' Papaleo E.']"
2-s2.0-85090497442,['[No author name available]']
2-s2.0-85090507775,"['Giordano B.V.', ' Bartlett S.K.', ' Falcon D.A.', ' Lucas R.P.', ' Tressler M.J.', ' Campbell L.P.']"
2-s2.0-85090510764,"['Fabris L.', ' Cadamuro M.', ' Cagnin S.', ' Strazzabosco M.', ' Gores G.J.']"
2-s2.0-85090512791,"['Dong M.', ' Hou Y.', ' Ding X.']"
2-s2.0-85090520615,"['Mani N.', ' Helfert M.', ' Pahl C.', ' Nimmagadda S.L.', ' Vasant P.']"
2-s2.0-85090523273,"['Dabulici C.M.', ' S rbu I.', ' Vamanu E.']"
2-s2.0-85090532791,"['Saberi Z.', ' Maleki L.', ' Enayati-Ataabadi N.']"
2-s2.0-85090542937,"['Platonova E.A.', ' Warren-Findlow J.', ' Paul R.']"
2-s2.0-85090548771,"['Wernli D.', ' Jørgensen P.S.', ' Parmley E.J.', ' Troell M.', ' Majowicz S.', ' Harbarth S.', ' Léger A.', ' Lambraki I.', ' Graells T.', ' Henriksson P.J.G.', ' Carson C.', ' Cousins M.', ' Skoog Ståhlgren G.', ' Mohan C.V.', ' Simpson A.J.H.', ' Wieland B.', ' Pedersen K.', ' Schneider A.', ' Chandy S.J.', ' Wijayathilaka T.P.', ' Delamare-Deboutteville J.', ' Vila J.', ' Stålsby Lundborg C.', ' Pittet D.']"
2-s2.0-85090558078,"['Wongprommoon N.', ' Tiamsuphat A.', ' Prommee P.']"
2-s2.0-85090562396,"['Onyedi T.', ' Tepljakov A.', ' Petlenkov E.']"
2-s2.0-85090572449,['Elbasi E.']
2-s2.0-85090577626,"['Sim W.H.', ' Fernando L.M.N.', ' Jorm A.F.', ' Rapee R.M.', ' Lawrence K.A.', ' Mackinnon A.J.', ' Yap M.B.H.']"
2-s2.0-85090579118,"['Karatuna I.', ' Jönsson S.', ' Muhonen T.']"
2-s2.0-85090580682,"['Pitta J.', ' Burkhardt F.', ' Mekki M.', ' Fehmer V.', ' Mojon P.', ' Sailer I.']"
2-s2.0-85090586454,"['Kfoury E.F.', ' Khoury D.', ' Alsabeh A.', ' Gomez J.', ' Crichigno J.', ' Bou-Harb E.']"
2-s2.0-85090589873,"['Berry J.T.L.', ' Muñoz L.E.', ' Rodríguez Stewart R.M.', ' Selvaraj P.', ' Mainou B.A.']"
2-s2.0-85090604067,"['Pakfetrat A.', ' Dalirsani Z.', ' Mozaffari H.M.', ' Sheikhveysi M.']"
2-s2.0-85090623567,"['Gómez-Coca R.B.', ' Alassi M.', ' Moreda W.', ' Del Carmen Pérez-Camino M.']"
2-s2.0-85090645646,['Kjær L.']
2-s2.0-85090662456,"['Amores-Arrocha A.', ' Sancho-Galán P.', ' Jiménez-Cantizano A.', ' Palacios V.']"
2-s2.0-85090665544,"['Arias M.', ' Rojas E.', ' Aguirre S.', ' Cornejo F.', ' Munoz-Gama J.', ' Sepúlveda M.', ' Capurro D.']"
2-s2.0-85090702878,"['Csepregi L.', ' Ehling R.A.', ' Wagner B.', ' Reddy S.T.']"
2-s2.0-85090716277,"['Li L.', ' Pan Z.-J.', ' Zhang H.-Q.', ' Ling X.-X.', ' Huang J.-Y.', ' Zhong B.-S.', ' Li J.-Y.', ' Liu L.-H.']"
2-s2.0-85090741389,"['White P.', ' Forrester-Jones R.']"
2-s2.0-85090759245,"['Avilés-Santa M.L.', ' Hsu L.', ' Lam T.K.', ' Arteaga S.S.', ' Artiles L.', ' Coady S.', ' Cooper L.S.', ' Curry J.', ' Desvigne-Nickens P.', ' Nicastro H.L.', ' Rosario A.']"
2-s2.0-85090779512,"['Meekes W.M.A.', ' Ford C.', ' Stanmore E.K.']"
2-s2.0-85090794096,"['Okumura K.', ' Akao M.', ' Yoshida T.', ' Kawata M.', ' Okazaki O.', ' Akashi S.', ' Eshima K.', ' Tanizawa K.', ' Fukuzawa M.', ' Hayashi T.', ' Akishita M.', ' Lip G.Y.H.', ' Yamashita T.']"
2-s2.0-85090797613,"['Sexton R.E.', ' Al Hallak M.N.', ' Diab M.', ' Azmi A.S.']"
2-s2.0-85090816415,"['Everson J.', ' Rubin J.C.', ' Friedman C.P.']"
2-s2.0-85090818508,"['Lohn A.F.', ' Trtikova M.', ' Chapela I.', ' van den Berg J.', ' du Plessis H.', ' Hilbeck A.']"
2-s2.0-85090819026,"['Shabanpour J.', ' Beyraghi S.', ' Oraizi H.']"
2-s2.0-85090827886,['Ashton C.F.']
2-s2.0-85090844145,"['Jung S.Y.', ' Lee K.', ' Lee H.-Y.', ' Hwang H.']"
2-s2.0-85090872623,['Öste H.F.']
2-s2.0-85090882130,"['Verbiest A.', ' van Hoef V.', ' Rodriguez-Antona C.', ' García-Donas J.', ' Graña-Castro O.', ' Albersen M.', ' Baldewijns M.', ' Laenen A.', ' Roussel E.', ' Schöffski P.', ' Wozniak A.', ' Caruso S.', ' Couchy G.', ' Zucman-Rossi J.', ' Beuselinck B.']"
2-s2.0-85090889347,"['Akiyama-Oda Y.', ' Oda H.']"
2-s2.0-85090908984,"['Jaunay E.L.', ' Dhillon V.S.', ' Semple S.J.', ' Simpson B.S.', ' Deo P.', ' Fenech M.']"
2-s2.0-85090912591,"['Dinerstein E.', ' Joshi A.R.', ' Vynne C.', ' Lee A.T.L.', ' Pharand-Deschênes F.', ' França M.', ' Fernando S.', ' Birch T.', ' Burkart K.', ' Asner G.P.', ' Olson D.']"
2-s2.0-85090915124,"['Petty J.', ' Jarvis J.', ' Thomas R.']"
2-s2.0-85090919012,"['Congiusta D.V.', ' Otero K.', ' Ippolito J.', ' Thomson J.', ' Beebe K.S.']"
2-s2.0-85090923257,"['Baraban E.', ' Cooper K.']"
2-s2.0-85090946922,['Baldwin K.']
2-s2.0-85090950723,"['McCashin D.', ' Coyle D.', "" O'Reilly G.""]"
2-s2.0-85090973481,['[No author name available]']
2-s2.0-85090989530,"['Tamers S.L.', ' Streit J.', ' Pana-Cryan R.', ' Ray T.', ' Syron L.', ' Flynn M.A.', ' Castillo D.', ' Roth G.', ' Geraci C.', ' Guerin R.', ' Schulte P.', ' Henn S.', ' Chang C.-C.', ' Felknor S.', ' Howard J.']"
2-s2.0-85090996298,"['Wu Q.', ' Xu G.', ' Zhang S.', ' Li Y.', ' Wei F.']"
2-s2.0-85091009629,"['Wang Q.', ' Hopgood J.R.', ' Finlayson N.', ' Williams G.O.S.', ' Fernandes S.', ' Williams E.', ' Akram A.', ' Dhaliwal K.', ' Vallejo M.']"
2-s2.0-85091015348,"['Tan G.', ' Xuan Z.', ' Li Z.', ' Huang S.', ' Chen G.', ' Wu Y.', ' Chen X.', ' Liang Z.', ' Wu A.']"
2-s2.0-85091017908,"['Ramesh V.', ' Vatanparvar K.', ' Nemati E.', ' Nathan V.', ' Rahman M.M.', ' Kuang J.']"
2-s2.0-85091019257,"['Hajimorad M.', ' Gralnick J.A.']"
2-s2.0-85091019880,"['Farsiani S.', ' Sodagar A.M.']"
2-s2.0-85091021964,"['Cai Z.', ' Xin J.', ' Wu J.', ' Liu S.', ' Zuo W.', ' Zheng N.']"
2-s2.0-85091023766,"['Han D.', ' Bashar S.K.', ' Zieneddin F.', ' Ding E.', ' Whitcomb C.', ' McManus D.D.', ' Chon K.H.']"
2-s2.0-85091029733,"['Tian Y.', ' Abdizadeh M.', ' Mahnam A.', ' Bhattachan P.', ' Meghrazi M.A.', ' Eskandarian L.', ' Kabir M.', ' Mellal I.', ' Popovic M.R.', ' Lankarany M.']"
2-s2.0-85091042991,"['Bian X.', ' Luo X.', ' Wang C.', ' Liu W.', ' Lin X.']"
2-s2.0-85091047587,"['Kondragunta J.', ' Hirtz G.']"
2-s2.0-85091049746,"['Patchava K.C.', ' Benaissa M.', ' Ge S.S.']"
2-s2.0-85091052641,"['Dimaguila G.L.', ' Batchelor F.', ' Merolli M.', ' Gray K.']"
2-s2.0-85091054122,"['Jiang J.', ' Adams H.-P.', ' Lange M.', ' Siemann S.', ' Feldkamp M.', ' McNamara S.', ' Froehler S.', ' Yaung S.J.', ' Yao L.', ' Balasubramanyam A.', ' Tikoo N.', ' Ju C.', ' Achenbach H.J.', ' Krügel R.', ' Palma J.F.']"
2-s2.0-85091054897,"['Prats G.', ' Antolín F.', ' Alonso N.']"
2-s2.0-85091056778,"['Almansour H.', ' Innmann M.', ' Akbar M.', ' Springer F.', ' Rehnitz C.']"
2-s2.0-85091067788,"['Wang J.', ' Song D.', ' Ma C.', ' Wang J.', ' Jiang J.']"
2-s2.0-85091068310,"['Wei-Peng Z.', ' Li-Sha C.', ' Er-Min L.', ' Feng-Chun Z.']"
2-s2.0-85091075292,"['Yoo T.K.', ' Ryu I.H.', ' Kim J.K.', ' Lee I.S.', ' Kim J.S.', ' Kim H.K.', ' Choi J.Y.']"
2-s2.0-85091112925,"['Jung W.', ' Li J.', ' Chaudhuri O.', ' Kim T.']"
2-s2.0-85091116349,"['Yarlagadda L.D.', ' Jacob R.', ' Liza Rajasekhar D.', ' Iyyapu K.M.', ' Kompella S.B.S.S.', ' Madrol V.B.', ' Sreedevi N.N.', ' Khan S.A.', ' Mohammed N.']"
2-s2.0-85091125885,"['Ninot G.', ' Bernard P.-L.', ' Nogues M.', ' Roslyakova T.', ' Trouillet R.']"
2-s2.0-85091136807,"['Baranger C.', ' Fayeulle A.', ' Le Goff A.']"
2-s2.0-85091142041,"['Shoukat I.A.', ' Iqbal U.', ' Rauf A.', ' Faheem M.R.']"
2-s2.0-85091143282,"['Barbosa F.M.C.', ' Carvalho B.M.', ' Gomes R.B.']"
2-s2.0-85091155392,"['Cazzolato M.T.', ' Ramos J.S.', ' Rodrigues L.S.', ' Scabora L.C.', ' Chino D.Y.T.', ' Jorge A.E.S.', ' Azevedo-Marques P.M.', ' Traina C.', ' Traina A.J.M.']"
2-s2.0-85091158127,"['Rodrigues J.F.', ' Brandoli B.', ' Amer-Yahia S.']"
2-s2.0-85091173493,"['Cuadros Linares O.', ' Aurea Soriano-Vargas A.', ' Faical B.S.', ' Hamann B.', ' Fabro A.T.', ' Traina A.J.M.']"
2-s2.0-85091176927,"['Cencini E.', ' Fabbri A.', ' Mecacci B.', ' Bocchia M.']"
2-s2.0-85091183383,"['F. Esquivel-Upshaw J.', ' Hsu S.-M.', ' Bohórquez A.C.', ' Abdulhameed N.', ' Scheiffele G.W.', ' Kim M.', ' Neal D.', ' Chai J.', ' Ren F.']"
2-s2.0-85091191848,"['Ryan T.E.', ' Schmidt C.A.', ' Tarpey M.D.', ' Amorese A.J.', ' Yamaguchi D.J.', ' Goldberg E.J.', ' Iñigo M.M.R.', ' Karnekar R.', "" O'Rourke A."", ' Ervasti J.M.', ' Brophy P.', ' Green T.D.', ' Darrell Neufer P.', ' Fisher-Wellman K.', ' Spangenburg E.E.', ' McClung J.M.']"
2-s2.0-85091196493,"['Skelton E.', ' Drey N.', ' Rutherford M.', ' Ayers S.', ' Malamateniou C.']"
2-s2.0-85091223387,"['Lewis M.', ' Chondros P.', ' Mihalopoulos C.', ' Lee Y.Y.', ' Gunn J.M.', ' Harvey C.', ' Furler J.', ' Osborn D.', ' Castle D.', ' Davidson S.', ' Jayaram M.', ' Kenny A.', ' Nelson M.R.', ' Morgan V.A.', ' Harrap S.', ' McKenzie K.', ' Potiriadis M.', ' Densley K.', ' Palmer V.J.']"
2-s2.0-85091226367,['Egher C.']
2-s2.0-85091236457,"['Kirby K.', ' Anwar M.N.']"
2-s2.0-85091264282,"['Turner K.', ' Clary A.', ' Hong Y.-R.', ' Tabriz A.A.', ' Shea C.M.']"
2-s2.0-85091265925,"['Sarkar U.', ' Samal L.']"
2-s2.0-85091297578,"['Demuth O.E.', ' Rayfield E.J.', ' Hutchinson J.R.']"
2-s2.0-85091310655,"['Onishi N.', ' Kataoka M.']"
2-s2.0-85091313694,"['Molldrem S.', ' Smith A.K.J.']"
2-s2.0-85091320045,"['Refaeli T.', ' Achdut N.']"
2-s2.0-85091323866,"['Zuiderwijk A.', ' Shinde R.', ' Jeng W.']"
2-s2.0-85091324296,"['Pudova E.A.', ' Krasnov G.S.', ' Nyushko K.M.', ' Kobelyatskaya A.A.', ' Savvateeva M.V.', ' Poloznikov A.A.', ' Dolotkazin D.R.', ' Klimina K.M.', ' Guvatova Z.G.', ' Simanovsky S.A.', ' Gladysh N.S.', ' Tokarev A.T.', ' Melnikova N.V.', ' Dmitriev A.A.', ' Alekseev B.Y.', ' Kaprin A.D.', ' Kiseleva M.V.', ' Snezhkina A.V.', ' Kudryavtseva A.V.']"
2-s2.0-85091324690,"['Schultheiβ M.', ' Bettinger D.', ' Thimme R.', ' Rössle M.']"
2-s2.0-85091325068,['Völcker M.']
2-s2.0-85091333508,"['Aditya B.R.', ' Permadi A.']"
2-s2.0-85091339535,"['Wahyu Sulistya A.Q.', ' Bastian Sulistiyo B.', ' Aditya F.', ' Aritonang I.D.', ' Amos Simangunsong S.', ' Shihab M.R.', ' Ranti B.']"
2-s2.0-85091353948,"['Yamashita S.', ' Hattori N.', ' Fujii S.', ' Yamaguchi T.', ' Takahashi M.', ' Hozumi Y.', ' Kogawa T.', ' El-Omar O.', ' Liu Y.-Y.', ' Arai N.', ' Mori A.', ' Higashimoto H.', ' Ushijima T.', ' Mukai H.']"
2-s2.0-85091357215,"['Zhang Y.', ' Zheng L.', ' Liu R.']"
2-s2.0-85091361093,"['Neratb A.', ' Strnad D.', ' Zupančič E.', ' Žalik B.']"
2-s2.0-85091361391,['Burgher S.']
2-s2.0-85091374510,"['Dorsey E.R.', ' Kluger B.', ' Lipset C.H.']"
2-s2.0-85091374649,['[No author name available]']
2-s2.0-85091375039,"['Boast G.', ' Green J.', ' Chambers R.', ' Calderwood R.']"
2-s2.0-85091405841,"['Turner A.J.', ' Anselmi L.', ' Lau Y.-S.', ' Sutton M.']"
2-s2.0-85091413907,"['Janney A.', ' Powrie F.', ' Mann E.H.']"
2-s2.0-85091428319,"['Gao J.', ' Jiang Y.', ' Zhang H.', ' Wang F.']"
2-s2.0-85091429640,"['Ma R.', ' Yuan D.', ' Guo Y.', ' Yan R.', ' Li K.']"
2-s2.0-85091431782,"['Bongomin O.', ' Mwasiagi J.I.', ' Nganyi E.O.', ' Nibikora I.']"
2-s2.0-85091445585,"['Ferrari M.', ' McIlwaine S.V.', ' Reynolds J.A.', ' Archie S.', ' Boydell K.', ' Lal S.', ' Shah J.L.', ' Henderson J.', ' Alvarez-Jimenez M.', ' Andersson N.', ' Boruff J.', ' Nielsen R.K.L.', ' Iyer S.N.']"
2-s2.0-85091454883,"['Rodrigues A.M.', ' Canhão H.']"
2-s2.0-85091460600,"['Martin J.', ' Ruthven M.', ' Boubertakh R.', ' Miquel M.E.']"
2-s2.0-85091469967,"['Saggini A.', ' Held L.']"
2-s2.0-85091471136,"['Ambrozkiewicz F.', ' Karczmarski J.', ' Kulecka M.', ' Paziewska A.', ' Niemira M.', ' Zeber-Lubecka N.', ' Zagorowicz E.', ' Kretowski A.', ' Ostrowski J.']"
2-s2.0-85091473039,"['Georganos S.', ' Brousse O.', ' Dujardin S.', ' Linard C.', ' Casey D.', ' Milliones M.', ' Parmentier B.', ' Van Lipzig N.P.M.', ' Demuzere M.', ' Grippa T.', ' Vanhuysse S.', ' Mboga N.', ' Andreo V.', ' Snow R.W.', ' Lennert M.']"
2-s2.0-85091480175,"['Narang A.', ' Hitschrich N.', ' Mor-Avi V.', ' Schreckenberg M.', ' Schummers G.', ' Tiemann K.', ' Hitschrich D.', ' Sodian R.', ' Addetia K.', ' Lang R.M.', ' Mumm B.']"
2-s2.0-85091483037,"['Flores-Vidal P.A.', ' Gomez D.', ' Castro J.', ' Montero J.']"
2-s2.0-85091500000,"['Kong W.', ' Lei Y.', ' Wang Q.', ' Hu Y.']"
2-s2.0-85091509330,"['Mallone F.', ' Sacchetti M.', ' Lambiase A.', ' Moramarco A.']"
2-s2.0-85091510672,"['Henriques S.', ' Broughton N.', ' Teixeira A.', ' Burkhart G.', ' Miovský M.']"
2-s2.0-85091511252,"['Wang D.', ' Dong J.', ' Zhou D.', ' Wei X.', ' Zhang Q.']"
2-s2.0-85091512413,"['Wang Z.', ' Fan W.', ' Fan W.', ' Zhou Y.']"
2-s2.0-85091512988,"['van Houwelingen-Snippe J.', ' van Rompay T.J.L.', ' Allouch S.B.']"
2-s2.0-85091523857,"['Moon Y.-J.', ' Kim S.-H.', ' Park Y.-S.', ' Kim J.-M.', ' Hwang G.-S.']"
2-s2.0-85091525233,"['Zhang L.', ' Lu B.', ' Zhao T.', ' Wang H.']"
2-s2.0-85091528721,"['Xu N.', ' Wang L.', ' Li C.', ' Ding C.', ' Li C.', ' Fan W.', ' Cheng C.', ' Gu B.']"
2-s2.0-85091540445,"['Boethius A.', ' Hollund H.', ' Linderholm J.', ' Vanhanen S.', ' Kjällquist M.', ' Magnell O.', ' Apel J.']"
2-s2.0-85091561246,['Pascal C.']
2-s2.0-85091570246,"['Yang T.', ' Jia Z.', ' Chen H.', ' Deng Z.', ' Liu W.', ' Chen L.', ' Li L.']"
2-s2.0-85091570263,"['Yin H.', ' Li S.', ' Huang Z.', ' Chen J.']"
2-s2.0-85091570963,"['Makhatova A.', ' Mazhit B.', ' Sarbassov Y.', ' Meiramkulova K.', ' Inglezakis V.J.', ' Poulopoulos S.G.']"
2-s2.0-85091571586,"['Fehrenbacher C.', ' Schoeny M.E.', ' Reed M.', ' Shattell M.', ' Breitenstein S.M.']"
2-s2.0-85091572889,"['Jacob C.', ' Sanchez-Vazquez A.', ' Ivory C.']"
2-s2.0-85091579859,"['Das S.', ' Maiti J.', ' Krishna O.B.']"
2-s2.0-85091590367,"['Pérez M.M.', ' Della Bona A.', ' Carrillo-Pérez F.', ' Dudea D.', ' Pecho O.E.', ' Herrera L.J.']"
2-s2.0-85091596081,"['Arisukwu O.', ' Igbolekwu C.', ' Oye J.', ' Oyeyipo E.', ' Asamu F.', ' Rasak B.', ' Oyekola I.']"
2-s2.0-85091602921,"['Nelson B.C.', ' Maragh S.', ' Ghiran I.C.', ' Jones J.C.', ' Derose P.C.', ' Elsheikh E.', ' Vreeland W.N.', ' Wang L.']"
2-s2.0-85091619674,"['Du X.', ' Gao Y.', ' Chang L.', ' Lang X.', ' Xue X.', ' Bi D.']"
2-s2.0-85091623989,"['Rathod V.T.', ' Mukherjee S.', ' Udpa L.', ' Deng Y.']"
2-s2.0-85091645552,['Pierron J.-P.']
2-s2.0-85091647735,['Rudolph M.S.']
2-s2.0-85091661009,"['Deepak S.', ' Ameer P.M.']"
2-s2.0-85091676985,"['Alami H.', ' Gagnon M.-P.', ' Côté A.', ' Kostović C.N.', ' Ag Ahmed M.A.', ' Samri M.A.', ' Fortin J.-P.']"
2-s2.0-85091687696,"['Thomas E.E.', ' Haydon H.M.', ' Mehrotra A.', ' Caffery L.J.', ' Snoswell C.L.', ' Banbury A.', ' Smith A.C.']"
2-s2.0-85091688635,"['Kardani K.', ' Basimi P.', ' Fekri M.', ' Bolhassani A.']"
2-s2.0-85091707206,"['Chiper D.F.', ' Cotorobai L.T.']"
2-s2.0-85091707434,"['Ovreiu S.', ' Cristescu I.', ' Balta F.', ' Sultana A.', ' Ovreiu E.']"
2-s2.0-85091712089,"['Curtis K.', ' Ellwood J.', ' Walker A.', ' Qian S.', ' Delamont P.', ' Yu P.', ' Stojic J.', ' Phang S.M.']"
2-s2.0-85091715388,"['Gracia-Romero A.', ' Kefauver S.C.', ' Vergara-Díaz O.', ' Hamadziripi E.', ' Zaman-Allah M.A.', ' Thierfelder C.', ' Prassana B.M.', ' Cairns J.E.', ' Araus J.L.']"
2-s2.0-85091749183,"['Seifert A.', ' Thilo F.J.S.']"
2-s2.0-85091750769,['Goh P.-S.']
2-s2.0-85091759509,"['Eden R.', ' Burton-Jones A.', ' Staib A.', ' Sullivan C.']"
2-s2.0-85091760424,"['Kimani S.M.', ' Bimantara P.O.', ' Hattori S.', ' Tawaraya K.', ' Sudo S.', ' Xu X.', ' Cheng W.']"
2-s2.0-85091762975,"['Wang D.', ' Cui Y.', ' Xu A.', ' Zhao L.', ' Li P.']"
2-s2.0-85091780559,"['Popov T.A.', ' Passalacqua G.', ' González-Díaz S.N.', ' Plavec D.', ' Braido F.', ' García-Abujeta J.-L.', ' Dubuske L.', ' Rouadi P.', ' Morais-Almeida M.', ' Bonini S.', ' Cheng L.', ' Ansotegui I.J.']"
2-s2.0-85091782707,"['Kou K.', ' Chen Y.-G.', ' Zhou J.-P.', ' Sun X.-D.', ' Sun D.-W.', ' Li S.-X.', ' Lv G.-Y.']"
2-s2.0-85091787842,"['Inchingolo R.', ' Posa A.', ' Mariappan M.', ' Tibana T.K.', ' Nunes T.F.', ' Spiliopoulos S.', ' Brountzos E.']"
2-s2.0-85091806512,"['Liao C.-Y.', ' Liu W.-I.']"
2-s2.0-85091809952,"['Pretorius L.', ' Smith C.']"
2-s2.0-85091812658,"['Kolláth Z.', ' Száz D.', ' Tong K.P.', ' Kolláth K.']"
2-s2.0-85091835199,"['Wu Z.', ' Yu B.', ' Jiang L.']"
