pmid,authors
2-s2.0-84897889774,"['Liou Y.-R.', ' Torng W.', ' Kao Y.-C.', ' Sung K.-B.', ' Lee C.-H.', ' Kuo P.-L.']"
2-s2.0-84897891995,"['Ghelfi P.', ' Laghezza F.', ' Scotti F.', ' Serafino G.', ' Capria A.', ' Pinna S.', ' Onori D.', ' Porzi C.', ' Scaffardi M.', ' Malacarne A.', ' Vercesi V.', ' Lazzeri E.', ' Berizzi F.', ' Bogoni A.']"
2-s2.0-84897895952,"['Huang W.-T.', ' Lin C.-W.']"
2-s2.0-84897929134,"['Sakurai T.', ' Namiki S.', ' Kanzaki R.']"
2-s2.0-84897951222,"['Hafen E.', ' Kossmann D.', ' Brand A.']"
2-s2.0-84897970311,"['Bronsnick T.', ' Kazi N.', ' Kirkorian A.Y.', ' Rao B.K.']"
2-s2.0-84897974349,['Gould F.D.H.']
2-s2.0-84897980968,"['Noronha K.P.', ' Acharya U.R.', ' Nayak K.P.', ' Martis R.J.', ' Bhandary S.V.']"
2-s2.0-84897983754,"['Cai C.', ' Li P.', ' Guo J.']"
2-s2.0-84897993293,"['Wang X.', ' Tang Z.', ' Yan B.', ' Li L.', ' Bao S.']"
2-s2.0-84897996567,"['Pathak P.', ' Selvakumar S.']"
2-s2.0-84898004641,"['Sakamoto R.', ' Mori S.', ' Miller M.I.', ' Okada T.', ' Togashi K.']"
2-s2.0-84898005203,['Huh S.']
2-s2.0-84898013441,"['Mercer D.', ' Parkinson D.']"
2-s2.0-84898013778,"['Salinet J.L.', ' Tuan J.H.', ' Sandilands A.J.', ' Stafford P.J.', ' Schlindwein F.S.', ' André Ng G.']"
2-s2.0-84898035169,"['Cannon T.D.', ' Sun F.', ' Mcewen S.J.', ' Papademetris X.', ' He G.', ' van Erp T.G.M.', ' Jacobson A.', ' Bearden C.E.', ' Walker E.', ' Hu X.', ' Zhou L.', ' Seidman L.J.', ' Thermenos H.W.', ' Cornblatt B.', ' Olvet D.M.', ' Perkins D.', ' Belger A.', ' Cadenhead K.', ' Tsuang M.', ' Mirzakhanian H.', ' Addington J.', ' Frayne R.', ' Woods S.W.', ' Mcglashan T.H.', ' Constable R.T.', ' Qiu M.', ' Mathalon D.H.', ' Thompson P.', ' Toga A.W.']"
2-s2.0-84898050032,"['McLaughlin R.L.', ' Newitt D.C.', ' Wilmes L.J.', ' Jones E.F.', ' Wisner D.J.', ' Kornak J.', ' Proctor E.', ' Joe B.N.', ' Hylton N.M.']"
2-s2.0-84898433141,"['Srivastava S.K.', ' Arora S.', ' Singh S.', ' Bhardwaj A.', ' Averett C.', ' Singh A.P.']"
2-s2.0-84898475874,"['Abd El-Rahman N.M.', ' Borik R.M.']"
2-s2.0-84898547865,"['Ruhoy S.M.', ' Guinee D.G.', ' Nuovo G.']"
2-s2.0-84898597787,"['Fukazawa E.M.', ' Baiocchi G.', ' Soares F.A.', ' Kumagai L.Y.', ' Faloppa C.C.', ' Badiglian-Filho L.', ' Coelho F.R.G.', ' Gonçalves W.J.', ' Costa R.L.R.', ' Góes J.C.S.']"
2-s2.0-84898608015,"['Richardson A.', ' Ganz O.', ' Stalgaitis C.', ' Abrams D.', ' Vallone D.']"
2-s2.0-84898614452,['Wolf S.A.']
2-s2.0-84898641678,"['Kingsley T.', ' Tancock S.']"
2-s2.0-84898652964,"['Chen Z.', ' Shin D.', ' Chen S.', ' Mikhail K.', ' Hadass O.', ' Tomlison B.N.', ' Korkin D.', ' Shyu C.-R.', ' Cui J.', ' Anthony D.C.', ' Gu Z.']"
2-s2.0-84898655021,"['Sim K.S.', ' Chia F.K.', ' Nia M.E.', ' Tso C.P.', ' Chong A.K.', ' Abbas S.F.', ' Chong S.S.']"
2-s2.0-84898677291,"['Nilsson M.F.', ' Webster W.S.']"
2-s2.0-84898688363,"['Perrot Y.', ' Degoul F.', ' Auzeloux P.', ' Bonnet M.', ' Cachin F.', ' Chezal J.M.', ' Donnarieix D.', ' Labarre P.', ' Moins N.', ' Papon J.', ' Rbah-Vidal L.', ' Vidal A.', ' Miot-Noirault E.', ' Maigne L.']"
2-s2.0-84898793740,"['Jones L.A.', ' Smith A.M.']"
2-s2.0-84898797206,"['Hedberg Y.S.', ' Qian B.', ' Shen Z.', ' Virtanen S.', ' Odnevall Wallinder I.']"
2-s2.0-84898797629,"['Kardynal A.', ' Olszewska M.']"
2-s2.0-84898818104,"['Haymon L.', ' Simi E.', ' Moyer K.', ' Aufox S.', ' Ouyang D.W.']"
2-s2.0-84898827456,"['Tang R.Y.', ' Laamanen C.', ' McDonald N.', ' Leclair R.J.']"
2-s2.0-84898850543,"['Kol A.', ' Terwisscha Van Scheltinga A.G.T.', ' Timmer-Bosscha H.', ' Lamberts L.E.', ' Bensch F.', ' De Vries E.G.E.', ' Schröder C.P.']"
2-s2.0-84898883461,"['Nov O.', ' Arazy O.', ' Anderson D.']"
2-s2.0-84898891820,"['Sarkar U.', ' Lyles C.R.', ' Parker M.M.', ' Allen J.', ' Nguyen R.', ' Moffet H.H.', ' Schillinger D.', ' Karter A.J.']"
2-s2.0-84898916184,"['Landini G.', ' Mylonas P.', ' Shah I.Z.', ' Hamburger J.']"
2-s2.0-84899049244,"['Ma J.', ' Chen J.', ' Ming D.', ' Tian J.']"
2-s2.0-84899051796,"['Foli K.J.', ' Braswell M.', ' Kirkpatrick J.', ' Lim E.']"
2-s2.0-84899070312,"['Chang Y.-C.', ' Huang Y.-H.', ' Huang C.-S.', ' Chen J.-H.', ' Chang R.-F.']"
2-s2.0-84899082276,"['Stein E.M.', ' Kepley A.', ' Walker M.', ' Nickolas T.L.', ' Nishiyama K.', ' Zhou B.', ' Liu X.S.', ' McMahon D.J.', ' Zhang C.', ' Boutroy S.', ' Cosman F.', ' Nieves J.', ' Guo X.E.', ' Shane E.']"
2-s2.0-84899121269,"['Spyridonos P.', ' Gaitanis G.', ' Tzaphlidou M.', ' Bassukas I.D.']"
2-s2.0-84899430714,"['Meyer A.F.', ' Diepenbrock J.-P.', ' Happel M.F.K.', ' Ohl F.W.', ' Anemüller J.']"
2-s2.0-84899444547,"['Connelly K.', ' Ur Rehman Laghari K.', ' Mokhtari M.', ' Falk T.H.']"
2-s2.0-84899471544,"['Kennedy A.E.', ' Dickinson A.J.']"
2-s2.0-84899490698,"['Stricker T.P.', ' Morales La Madrid A.', ' Chlenski A.', ' Guerrero L.', ' Salwen H.R.', ' Gosiengfiao Y.', ' Perlman E.J.', ' Furman W.', ' Bahrami A.', ' Shohet J.M.', ' Zage P.E.', ' Hicks M.J.', ' Shimada H.', ' Suganuma R.', ' Park J.R.', ' So S.', ' London W.B.', ' Pytel P.', ' Maclean K.H.', ' Cohn S.L.']"
2-s2.0-84899512814,"['Weizman L.', ' Sira L.B.', ' Joskowicz L.', ' Rubin D.L.', ' Yeom K.W.', ' Constantini S.', ' Shofty B.', ' Bashat D.B.']"
2-s2.0-84899516413,"['Pour A.B.', ' Hashim M.']"
2-s2.0-84899530032,"['Kristensen V.N.', ' Lingjærde O.C.', ' Russnes H.G.', ' Vollan H.K.M.', ' Frigessi A.', ' Børresen-Dale A.-L.']"
2-s2.0-84899535656,"['Burt C.H.', ' Simons R.L.']"
2-s2.0-84899541163,"['De Bellis F.', ' Carafa V.', ' Conte M.', ' Rotili D.', ' Petraglia F.', ' Matarese F.', ' Françoijs K.-J.', ' Ablain J.', ' Valente S.', ' Castellano R.', ' Goubard A.', ' Collette Y.', ' Mandoli A.', ' Martens J.H.A.', ' De Thé H.', ' Nebbioso A.', ' Mai A.', ' Stunnenberg H.G.', ' Altucci L.']"
2-s2.0-84899541853,['Ozdogan M.']
2-s2.0-84899549687,"['Yasaka R.', ' Nguyen H.D.', ' Ho S.Y.W.', ' Duchêne S.', ' Korkmaz S.', ' Katis N.', ' Takahashi H.', ' Gibbs A.J.', ' Ohshima K.']"
2-s2.0-84899570854,"['Smolinska A.', ' Hauschild A.-Ch.', ' Fijten R.R.R.', ' Dallinga J.W.', ' Baumbach J.', ' Van Schooten F.J.']"
2-s2.0-84899615988,"['Abd-Allah F.', ' Heshmat Kassem H.', ' Hashad A.', ' Shamloul R.M.', ' Zaki A.']"
2-s2.0-84899621332,"['Messaoudi K.', ' Toumi S.', ' Bourennane E.-B.', ' Touiza M.']"
2-s2.0-84899637201,"['Sun J.', ' Wang S.', ' Li C.', ' Ren Y.', ' Wang J.']"
2-s2.0-84899667377,"['Finley B.J.', ' Kilkki K.']"
2-s2.0-84899667651,"['Kazemi S.', ' Ghorbani A.', ' Amindavar H.', ' Li C.']"
2-s2.0-84899682939,"['Rao K.', ' Ok M.W.', ' Bryant B.R.']"
2-s2.0-84899703394,"['Lyksborg M.', ' Siebner H.R.', ' Sørensen P.S.', ' Blinkenberg M.', ' Parker G.J.M.', ' Dogonowski A.-M.', ' Garde E.', ' Larsen R.', ' Dyrby T.B.']"
2-s2.0-84899716344,"['Van Engelen A.', ' Niessen W.J.', ' Klein S.', ' Groen H.C.', ' Verhagen H.J.M.', ' Wentzel J.J.', ' Van Der Lugt A.', ' De Bruijne M.']"
2-s2.0-84899725669,"['Chao Y.', ' Kang J.', ' Zhang T.', ' Yang Q.', ' Gruber M.Y.', ' Sun Y.']"
2-s2.0-84899735237,"['Liu Y.', ' Han S.', ' Xu O.']"
2-s2.0-84899752622,"['Esserman L.J.', ' Thompson I.M.', ' Reid B.', ' Nelson P.', ' Ransohoff D.F.', ' Welch H.G.', ' Hwang S.', ' Berry D.A.', ' Kinzler K.W.', ' Black W.C.', ' Bissell M.', ' Parnes H.', ' Srivastava S.']"
2-s2.0-84899757959,"['Stamp R.', ' Schembri A.', ' Fenlon J.', ' Rentelis R.', ' Woll B.', ' Cormier K.']"
2-s2.0-84899766407,"['McKinnon J.M.', ' Chonody J.']"
2-s2.0-84899777404,['Samuel C.A.']
2-s2.0-84899797639,"['Boyle S.A.', ' Kennedy C.M.', ' Torres J.', ' Colman K.', ' Pérez-Estigarribia P.E.', ' De La Sancha N.U.']"
2-s2.0-84899818779,"['Montero-Marin J.', ' Piva Demarzo M.M.', ' Pereira J.P.', ' Olea M.', ' García-Campayo J.']"
2-s2.0-84899856563,"['Li X.-M.', ' Reng J.', ' Zhou P.', ' Cao Y.', ' Cheng Z.-Z.', ' Xiao Y.', ' Xu G.-H.']"
2-s2.0-84899913003,"['Singh H.', ' Kaur L.', ' Singh K.']"
2-s2.0-84899930631,['Zhao J.-C.']
2-s2.0-84899951164,"['Jane Cook E.', ' Randhawa G.', ' Large S.', ' Guppy A.', ' Chater A.M.', ' Ali N.']"
2-s2.0-84899960453,"['McClymont H.', ' Gow J.', ' Perry C.']"
2-s2.0-84900019982,"['Pollard A.S.', ' Mcgonnell I.M.', ' Pitsillides A.A.']"
